Categoria,Nombre,Direccion,Ciudad,Telefono,Email,Sitio,Notas,Prioridad,Fuente
Girona Kebab,The Kebab Lab (Girona),требует верификации,Girona,требует верификации,,ubereats,"Кебаб в Жироне.",4,ubereats
Girona Kebab,Turkish Pizza Kebab & French Tacos (Girona),требует верификации,Girona,требует верификации,,ubereats,"Турецкая пицца+кебаб в Жироне.",4,ubereats
Girona Kebab,AMIGO DONER KEBAB,"Joaquín Costa, 54 bajo, 08001",Barcelona,требует верификации,,paginasamarillas,"Кебаб в БСН.",3,paginasamarillas
Halal/Arab BSN,Mercat Àrab Carnisseria i Alimentació,"Carrer de l'Hospital, 107, 08001",Barcelona,требует верификации,,sawcer.com,"Халяль + персидские/турецкие/марокканские/ливанские/египетские продукты. Самая крупная мульти-этнич арабская лавка центра БСН. Топ-цель.",5,sawcer.com
Halal/Arab BSN,Carniseria Les Mil i Una Nits,требует верификации,Barcelona,требует верификации,,acib.cat,"Халяль для ресторанов и хостелерии. Поставщики мяса в HORECA. Стратегич партнёр.",5,acib.cat
Halal/Arab BSN,Carnicería Al-Baraka Halal,"Carrer Diputació, 24, 08160",Montmeló,+34 931 449 869,,albarakahalal.com,"Халяль-карникерия.",4,albarakahalal.com
Halal/Arab Catalonia,Alimentación Ayhab,"C/ 26 de Enero, 38",Barcelona,+34 93 332 11 08 / 669 332 002,,,"Болгарский супермаркет.",3,degustandobarcelona
Halal/Arab Catalonia,Paprika Gourmet,"C/ Lepant, 311",Barcelona,+34 934 335 709,,,"Венгерские продукты. Близкая ниша - чёрный хлеб, питы.",3,degustandobarcelona
Halal/Arab Catalonia,Unirea,"Provença, 12",Barcelona,требует верификации,,,"Румынские продукты.",2,degustandobarcelona
HORECA Distribuidor,Assolim Alimentaria,"El Bruc / Cardedeu",Cataluña,требует верификации,,assolim.com,"Один из крупнейших HORECA-дистрибьюторов Каталонии. 60+ грузовиков с холодной цепью. Покрывают Барселону/Таррагону + часть Жироны. ИДЕАЛЬНЫЙ B2B-партнёр для пельменей/готовой еды в будущем + лаваша уже сейчас.",5,assolim.com
HORECA Distribuidor,Friman,Mercabarna,Barcelona,требует верификации,,friman.es,"50+ лет в HORECA. Замороженные/охлажденные/свежие/рыба. Прямые поставки в рестораны/коллективные кухни/тиенды.",5,friman.es
HORECA Distribuidor,Arcón Food (Artesanía Congelada),Barcelona,Cataluña,требует верификации,,arconfood.com,"30+ лет. Лидер в Каталонии в замороженной еде. Тещина мечта для пельменей/котлет потом.",5,arconfood.com
HORECA Distribuidor,Bidfood Iberia / Colofruit,Barcelona,Barcelona,требует верификации,,bidfoodiberia.com,"Гурме-дистрибьютор HORECA.",5,bidfoodiberia.com
HORECA Distribuidor,Frostfred,Cataluña,Cataluña,+34 93 768 27 74,info@frostfred.com,frostfred.com,"Замороженные продукты для HORECA. Доставка по Испании.",4,frostfred.com
HORECA Distribuidor,Libano Foods,требует верификации,Cataluña / España,требует верификации,,libanofoods.com,"!!!ВАЖНО!!! Импортёр+дистрибьютор пан-пита/ливанский хлеб/тахини/хумус/durum. Прямой конкурент. 300+ референсов. Понять цены и схему работы или предложить сотрудничество.",5,libanofoods.com
HORECA Distribuidor,Selling & Spain,"Pol. Ind. Les Guixeres, Badalona",Badalona,требует верификации,,,"Дистрибьютор СПЕЦИАЛЬНО для кебаб-точек. Пан-пита, durum, фалафель, соусы, мясо для кебаба. Прямой партнёр для дистрибуции лаваша во все кебаб-точки Каталонии.",5,proveedores.com
HORECA Distribuidor,Dispuig,Girona ciudad,Girona,требует верификации,,proveedores.com,"72+ года опыта. Замороженные/мороженое/рыба/хлеб. Прямо в Жироне.",5,proveedores.com
HORECA Distribuidor,Marquez Distribucions,Sant Feliu de Guíxols,Sant Feliu de Guíxols,требует верификации,,,"1975 г. HORECA + droguería. Прямо на Коста-Браве.",5,proveedores.com
HORECA Distribuidor,El Nou Magatzem,Girona,Girona,требует верификации,,,"Импорт + дистрибуция итал/аргент в рестораны. Каталония + Испания.",4,proveedores.com
HORECA Distribuidor,Disfribell,Palol De Revardit (Girona),Girona,требует верификации,,,"30 лет в замороженных. Спецы по хлебу/выпечке.",4,proveedores.com
HORECA Distribuidor,Distribuciones Abad Isern,Girona,Girona,требует верификации,,,"Мороженое+замороженные+HORECA.",4,proveedores.com
HORECA Distribuidor,Fredjove-BN,Girona,Girona,требует верификации,,proveedores.com,"Замороженные.",4,proveedores.com
HORECA Distribuidor,Pinco & Pallino,L'Escala (Girona),L'Escala,требует верификации,,,"Замороженные пиццы/фокачча/кальцоне/паста. Возможный партнёр для замороженной еды.",4,proveedores.com
HORECA Distribuidor,Sed Distribució,Puigcerdà,Girona,требует верификации,,,"10 лет HORECA. 600+ клиентов в Бергеда/Серданья/Альт Уржель.",3,proveedores.com
HORECA Distribuidor,O.R. Empuries SL,Figueres,Figueres,требует верификации,,europages,"Замороженная рыба/морепродукты HORECA Жирона. Аренда камер хранения.",3,europages
HORECA Distribuidor,Balló,Figueres,Figueres,требует верификации,,proveedores.com,"Мультипродуктовый HORECA-дистрибьютор + droguería.",4,proveedores.com
HORECA Distribuidor,Grupo Miquel,Vilamalla,Girona,требует верификации,,,"Большая дистрибуция продуктов/droguería/perfumería/bazar. Франшизы + мажористы + супермаркеты.",4,proveedores.com
HORECA Distribuidor,Francisco Puig Masjuán,Girona,Girona,требует верификации,,,"Замороженные: рыба/морепродукт/овощи/мороженое.",3,kompass
HORECA Distribuidor,Condal Chef,Girona,Girona,требует верификации,,,"С 1965 г. Гурме + крафтовое пиво.",3,proveedores.com
HORECA Distribuidor,Alimentación MQ,Girona,Girona,требует верификации,,,"Малая дистрибуция продуктов/напитков в Жироне.",3,proveedores.com
HORECA Distribuidor,Alregi,требует верификации,Cataluña,требует верификации,,,"С 1993. HORECA вино/пиво/продукты.",3,proveedores.com
HORECA Distribuidor,Mercabarna (sector),Mercabarna,Barcelona,+34 935 565 600,,mercabarna.es,"!!! 70+ компаний HORECA в комплексе. Главный B2B хаб для рестораторов Каталонии. Получить список членов через mercabarna.es.",5,mercabarna.es
HORECA Distribuidor,Fleca Serhs,Pineda de Mar,Pineda de Mar,требует верификации,,,"Поставщик хлеба HORECA в Маресме. Близко к Льорету. Возможный субконтракт.",4,proveedores.com
HORECA Distribuidor,Grupo Moianés,Caldes de Montbui,Barcelona,требует верификации,,,"Замороженные массы + хлеб HORECA Вальес.",3,proveedores.com
HORECA Distribuidor,Maheso,Montcada i Reixac,Barcelona,требует верификации,,,"Замороженные блюда (крокеты/наггетсы/каннеллони/лазанья/пироги). Прямой конкурент или возможный заказчик white-label на пельмени/котлеты.",5,proveedores.com
HORECA Distribuidor,Ferri Bros,Sant Quirze del Vallès,Barcelona,требует верификации,,,"12+ лет. Замороженные продукты + панадерия. Фокачча/пицца-базы/панес.",3,proveedores.com
Delivery Platform,Glovo,Barcelona / Cataluña,Spain,via сайт,,glovoapp.com,"Регистрация: glovoapp.com/restaurants. 35-40% комиссия + ~150€ активация. 5 раб дней активация. ОБЯЗАТЕЛЬНО для Льорета и Барселоны. Glovo доминирует Льорет.",5,glovoapp.com
Delivery Platform,Uber Eats,Cataluña,Spain,via сайт,,ubereats.com,"Регистрация: uber.com/es/es-es/merchant. 25-35% комиссия. Бесплатная активация. ОБЯЗАТЕЛЬНА для Льорета.",5,ubereats.com
Delivery Platform,Just Eat,Cataluña,Spain,via сайт,,just-eat.es,"36% комиссия + 0.20€ за заказ. 299€ активация. Менее активна на Коста-Браве.",4,just-eat.es
Delivery Platform,Bolt Food,Cataluña,Spain,via сайт,,food.bolt.eu,"Конкурент Glovo. Есть в Каталонии.",4,bolt.eu
Delivery Platform,Yango Eats,Cataluña,Spain,via сайт,,yango.eats,"Российский Yandex Eats / Yango. Активен в Испании в 2024-2026. Очень дружественны к русскоязычным брендам - воспользоваться.",5,yango.com
Catalog/Yellow Pages,Páginas Amarillas,España,España,,,paginasamarillas.es,"Главный национальный каталог. Зарегистрировать El Lavash в категории Alimentación / Productos del mundo.",5,paginasamarillas.es
Catalog/Yellow Pages,QDQ,España,España,,,qdq.com,"Каталонский каталог. Регистрация.",4,qdq.com
Catalog/Yellow Pages,Cylex,España,España,,,cylex.es,"Бизнес-каталог.",4,cylex.es
Catalog/Yellow Pages,Empresite (El Economista),España,España,,,empresite.eleconomista.es,"Каталог компаний.",3,empresite.eleconomista.es
Catalog/Yellow Pages,En Lloret,Lloret de Mar,Lloret de Mar,,,enlloret.com,"Локальный каталог Льорета. Регистрация бесплатна обычно.",5,enlloret.com
Catalog/Yellow Pages,Lloret.cat / Lloret Turisme,Lloret de Mar,Lloret de Mar,,,lloretdemar.org,"Официальный портал Льорета. Гид по бизнесу.",5,lloretdemar.org
Catalog/Yellow Pages,Botigues de Catalunya,Cataluña,Cataluña,,,botiguesdecatalunya.cat,"Главный каталанский каталог независимых магазинов. Регистрация даёт SEO+местные клиенты.",5,botiguesdecatalunya.cat
Catalog/Yellow Pages,Publicaton,Lloret/Girona,Lloret de Mar,+34 641 89 71 85,,publicaton.com,"Локальный комм. каталог Льорет+Жирона.",4,publicaton.com
Catalog/Yellow Pages,TheFork (Tripadvisor),España,España,,,thefork.es,"Главная платформа резервирования ресторанов. Если откроется кафе при производстве - обязательна.",4,thefork.es
Catalog/Yellow Pages,Tripadvisor,España,España,,,tripadvisor.es,"Если откроется выставочный магазин/кафе - регистрировать.",4,tripadvisor.es
Catalog/Yellow Pages,Restaurant Guru,España,España,,,restaurantguru.com,"Каталог ресторанов.",3,restaurantguru.com
Catalog/Yellow Pages,Google My Business,Lloret de Mar,Lloret de Mar,,,business.google.com,"!!!КРИТИЧЕСКИ ВАЖНО!!! Создать GMB-карточку El Lavash в Лиорете с фото/режимом/телефоном. Главная точка входа для поисковых клиентов.",5,Google
Catalog/Yellow Pages,Botiguers Tossa,Tossa de Mar,Tossa de Mar,,,ubtossa.com,"Ассоциация торговцев Тосса.",3,ubtossa.com
Catalog/Yellow Pages,SAWCER (Sant Antoni W),Barcelona,Barcelona,,,sawcer.com,"Гид по магазинам Каталонии.",3,sawcer.com
Local Restaurants Lloret,Pizzería Marghe 1889,"Carrer de la Riera, 14, 17310",Lloret de Mar,требует верификации,,thefork,"Итальянская пиццерия. Лаваш не профильный но фокачча/мини-пиццы могут зайти.",2,thefork
Local Restaurants Lloret,Via Amalfi,"Carrer de Josep Tarradellas, 3, 17310",Lloret de Mar,требует верификации,,thefork,"Итальянский ресторан #2 в Льорете.",2,thefork
Local Restaurants Lloret,Tribus,"Avinguda de la Roca Grossa, 22, 17310",Lloret de Mar,требует верификации,,thefork,"Средиземноморский ресторан. 9.5 рейтинг.",3,thefork
Local Restaurants Lloret,La Parrilla,"C. Santa Llucia, 13, 17310",Lloret de Mar,+34 972 369 636,,,"Средиземноморский. 2118 отзывов TripAdvisor. 1 место в Льорете. Возможный В2В клиент - мясо на гриле + лаваш.",4,tripadvisor
Local Restaurants Lloret,Ca L'Enric,"Carrer Migdia, 30 / центр",Lloret de Mar,требует верификации,,,"Каталанский. Семейный.",2,viajeroscallejeros
Local Restaurants Lloret,La Vaca Echada,"Carrer Joan Llaveries / центр",Lloret de Mar,требует верификации,,,"Стейк-хаус. Берёт хлеб.",3,tripadvisor
Local Restaurants Lloret,Star Mediterráneo,требует верификации,Lloret de Mar,требует верификации,,ubereats,"Средиземноморский.",3,ubereats
Local Restaurants Lloret,Atics Restaurant,требует верификации,Lloret de Mar,требует верификации,,tripadvisor,"Средиземноморский.",2,tripadvisor
Local Restaurants Lloret,Restaurant Can Tarradas,требует верификации,Lloret de Mar,требует верификации,,tripadvisor,"Морепродукты.",2,tripadvisor
Local Restaurants Lloret,Restaurante La Fusta,требует верификации,Lloret de Mar,требует верификации,,tripadvisor,"Средиземноморский.",2,tripadvisor
Local Restaurants Lloret,Star Indian Food,требует верификации,Lloret de Mar,требует верификации,,ubereats,"Индийский - могут закупать наан/лаваш.",3,ubereats
Local Restaurants Lloret,Shaan e India,требует верификации,Lloret de Mar,требует верификации,,ubereats,"Индийский.",3,ubereats
Local Restaurants Lloret,Royal Curry King,требует верификации,Lloret de Mar,требует верификации,,ubereats,"Индийский.",3,ubereats
