ID,Тип_покупки,Категория,Название,Адрес,Город,Телефон,Email,Сайт,Заметки,Приоритет,Источник,Верифицировано,Доверие,Дата_проверки,Источник_проверки,Халяль_нужен,Холодная_цепочка,Текущий_поставщик_лаваша,Сезонность
R136,Готовый,Конечный-Кебаб Тосса-де-Мар,Kebab Pizzería i Braseria Catalunya,требует верификации,Tossa/Lloret,,,,Кебаб+пицца. Возможно та же точка что Cataluña Kebab Pizzería (R126) в Palafolls/Santa Susanna зоне.,4,ubereats,Частично,2,2026-05-28,https://www.ubereats.com/es-en/dish/palafolls-es-ct/marinara-pizza,Вероятно,,,Круглый год
R137,Готовый,Конечный-Кебаб/халяль Бланес,Tot Brassa Blanes,требует верификации,Blanes,,,,Халяль ресторан в Бланесе. ~20 мин от Льорета. На UberEats не подтверждён — название не найдено в поиске.,5,ubereats,Частично,1,2026-05-28,not found,Да,,,Круглый год
R138,Готовый,Конечный-Кебаб/халяль Бланес,Foster's Hollywood Blanes,"Avda. de Europa, 40, 17300",Blanes,,,https://fostershollywood.es,Не халяль но крупная точка сети. Подтверждено carta.menu.,2,ubereats,Да,4,2026-05-28,https://carta.menu/list/12493847/restaurantes-blanes,Да,,,Круглый год
R139,Готовый,Конечный-Кебаб/халяль Бланес,DIA (DE BLANES KM 10.400),KM 10.400,Blanes,,,,Сетевой супер. Тяжело попасть напрямую но возможно.,2,ubereats,Частично,2,2026-05-28,not found,Да,,,Круглый год
R140,Готовый,Конечный-Кебаб Калелья/Пинеда,Pizza Rica Kabab Calella,"Calle Jovara, 337, 08370",Calella,+34 931 19 66 28,,https://paginasamarillas.es,"Кебаб-пицца. Подтверждено Páginas Amarillas, Cylex.",4,ubereats,Да,5,2026-05-28,https://www.paginasamarillas.es/f/calella/pizza-rica-kabab_302953237_000000001.html,Вероятно,,,Круглый год
R141,Готовый,Конечный-Кебаб Калелья/Пинеда,Top Pizza Malgrat,"Carrer Abat Oliba, 3, 08380",Malgrat de Mar,,,https://ubereats.com/store/top-pizza-malgrat,"Пиццерия. Тот же адрес что Turkish Diner — возможно одна локация. UberEats, Just Eat.",3,ubereats,Да,4,2026-05-28,https://menuweb.menu/restaurants/malgrat-de-mar/top-pizza-malgrat,Вероятно,,,Круглый год
R142,Готовый,Конечный-Кебаб Калелья/Пинеда,Luna de Anatolia Pineda,"Passeig Diputació, 6",Pineda de Mar,,,https://just-eat.es,Турецкая. Берут лаваш. Тел нужно дополнить. Подтверждено Tripadvisor/Gastroranking.,4,ubereats,Да,4,2026-05-28,https://gastroranking.es/r/luna-de-anatolia_169291/,Вероятно,,,Круглый год
R143,Готовый,Конечный-Кебаб Сант-Фелиу,Guíxols Kebab,"Av. de Catalunya, 79, 17220",Sant Feliu de Guíxols,+34 972 07 99 65,guixolskebab@hotmail.com,,Кебаб+пиццерия. ~30 мин от Льорета. Средний чек 10€. Подтверждено visitguixols.com (официальный туризм).,4,ubereats,Да,5,2026-05-28,https://www.visitguixols.com/en/where-to-eat/restaurants-en/22202-la-locanda-di-nonna-flo-5.html,Вероятно,,,Круглый год
R144,Готовый,Конечный-Кебаб Жирона,The Kebab Lab (Girona),Girona,Girona,+34 972 947 025,,,Кебаб в Жироне. Современный дизайн. Instagram @TheKebabLab.,4,ubereats,Да,4,2026-05-28,https://www.instagram.com/p/DM8H2ZnMFpZ/,Вероятно,,,Круглый год
R145,Готовый,Конечный-Кебаб Жирона,Turkish Pizza Kebab & French Tacos,"Carrer de Riu de la Plata, 26, 17310",Lloret de Mar,,,,[ДУБЛИКАТ → СЛИТ С R104] СЛИТО С ID R104 (Turco Pizza Kebab y Taco Francés) — этот адрес/название дублируется. ВНИМАНИЕ: помечен как Girona но фактически в Lloret de Mar (Riu de la Plata 26). Турецкая пицца+кебаб. Рейтинг 3.2.,4,ubereats,Дубликат,5,2026-05-28,https://menustic.com/spain/restaurant-menus-in-lloret-de-mar,Вероятно,,,Сезонный (пик летом)
R146,Готовый,Конечный-Кебаб Жирона,AMIGO DONER KEBAB,"Joaquín Costa, 54 bajo, 08001",Barcelona,,,,"Кебаб в БСН Raval. Кухня libanesa. Подтверждено Páginas Amarillas, Yelp, La Carte.",3,paginasamarillas,Да,5,2026-05-28,https://www.paginasamarillas.es/f/barcelona/amigo-doner-kebab_021218078_000000001.html,Вероятно,,,Круглый год
R147,Розница,Розница-Халяль/арабский магазин Барселона,Mercat Àrab Carnisseria i Alimentació,"Carrer de l'Hospital, 107, 08001",Barcelona,,,https://sawcer.com,Халяль + персидские/турецкие/марокканские/ливанские/египетские продукты. Самая крупная мульти-этнич арабская лавка центра БСН. Топ-цель.,5,sawcer.com,Да,5,2026-05-28,https://www.sawcer.com/es/mercat-arab-carnisseria-i-alimentacio/,Да,,,Круглый год
R148,Розница,Розница-Халяль/арабский магазин Барселона,Carniseria Les Mil i Una Nits,"C/ Sant Miquel, 25, 08003",Barcelona,,,https://acib.cat,Халяль для ресторанов и хостелерии. Поставщики мяса в HORECA. Стратегич партнёр. Подтверждено ACIB Barceloneta.,5,acib.cat,Да,5,2026-05-28,https://www.acib.cat/es/socio/carnisseria-les-mil-i-una-nits,Да,,,Круглый год
R149,Розница,Розница-Халяль/арабский магазин Барселона,Carnicería Al-Baraka Halal,"Carrer Diputació, 24, 08160",Montmeló,+34 931 449 869,,https://albarakahalal.com,Халяль-карникерия. Онлайн-продажи + доставка по Испании. Часы 10-21 пн-сб. Подтверждено сайт + ZoomInfo.,4,albarakahalal.com,Да,5,2026-05-28,https://albarakahalal.com/pages/contact,Да,,,Круглый год
R150,Розница,Розница-Этнический магазин Каталонии,Alimentación Ayhab,"C/ 26 de Enero, 38",Barcelona,+34 93 332 11 08 / +34 669 332 002,,,Болгарский супермаркет. Подтверждено degustandobarcelona.,3,degustandobarcelona,Да,4,2026-05-28,http://degustandobarcelona.blogspot.com/2010/04/tiendas-de-alimentacion-internacionales.html,Да,,,Круглый год
R151,Розница,Розница-Этнический магазин Каталонии,Paprika Gourmet,"Carrer de Lepant, 311, 08025",Barcelona,+34 934 335 709,,,"Венгерские продукты. Близкая ниша - чёрный хлеб, питы. Deli & Bistro. Подтверждено El Periódico, traveltohungary.com.",3,degustandobarcelona,Да,5,2026-05-28,https://traveltohungary.com/es/noticias/tienda-hungara-en-barcelona/3062/,Да,,,Круглый год
R152,Розница,Розница-Этнический магазин Каталонии,Magazin Unirea,"Carrer de Provença, 12, 08029",Barcelona,+34 635 369 788,,,"Румынский магазин. Cash&Carry + Cofetărie. Подтверждено magazineromanesti.eu, elrumanol.es (рейтинг 4.9).",2,degustandobarcelona,Да,5,2026-05-28,https://www.magazineromanesti.eu/Spania/c/magazine-romanesti,Да,,,Круглый год
R042,Розница,Розница-Армянский магазин,Alimentació Ètnica d'Armènia (Arayi),"Carrer de Garcilaso, 23, 08025",Barcelona,+34 931 970 205 / +34 633 872 525,arayialimentacionetnica@gmail.com,https://facebook.com/p/Arayi-El-Gust-dArmenia-Barcelona-100039501591257,"Армянский этно-магазин ""El Gust d'Armenia"" в Сан-Андреу. Владелец армянской диаспоры. Прямой целевой клиент №1 для дистрибуции лаваша - продаёт армянские продукты, нужен свежий лаваш. Часы: пн-вт 10-15/17-21, ср 10-15. Маленький объём, но идеальная точка входа для бренда.",5,waze.com / miatsir.net,Да,5,2026-05-28,WebSearch + Facebook + Waze + miatsir.net,,,,Круглый год
R043,Готовый,Конечный-Армянский ресторан,Tapan Restaurant,"Carrer del Tenor Masini, 96, 08028",Barcelona,+34 603 941 100,,,"Армяно-кавказский ресторан в Сантс-Монжуик. Меню: армянская и грузинская кухня (хачапури, шашлык, гата). Часы 13:00-23:30, выходной понедельник. TheFork 9.4/10 (food 9.5, service 9.4), TripAdvisor отзывы положительные. Live music пт-сб. Лаваш используется ежедневно - ключевой клиент.[DOUBLE_CHECK 28.05.2026] tapan.es НЕ работает (запаркован на Hostinger). Тел требует звонка-верификации.",5,tripadvisor / thefork / tapan.es,Да,4,2026-05-28,TheFork + TripAdvisor + tapan.es,,,Вероятно,Круглый год
R044,Готовый,Конечный-Армянский ресторан,Tapan Fast Food de Brasa,"Carrer de Provença, 9, 08029",Barcelona,,,https://thefork.com/restaurant/tapan-fast-food-de-brasa-r851034 / https://instagram.com/tapan_fastfood,"Вторая локация Tapan - фастфуд на гриле. Eixample, район Provença. Армяно-грузинская кухня в формате fast food (kebab, на гриле). Большой объём лаваша требуется - расход выше чем у основного ресторана. Доставка через Uber Eats, Glovo. Тот же владелец что и Tapan ресторан.",5,thefork / ubereats / instagram,Да,4,2026-05-28,TheFork + UberEats + Instagram @tapan_fastfood,,,Вероятно,Круглый год
R045,Готовый,Конечный-Армянский ресторан,Mana'm,"Carrer dels Àngels, 3, 08001",Barcelona,,,"https://thefork.es (поиск """"Mana'm"""")","Армянский ресторан в Раваль. Шеф-повар Tatevik Arakelyan (армянка). Средняя цена 18€. В меню хумус, оливки, маринованная мелкая рыба - средиземноморско-армянская кухня. Вегетарианские опции. Лаваш используется. Хорошая точка для пилота.",5,thefork,Да,4,2026-05-28,TheFork France/Spain,,,Вероятно,Круглый год
R046,Розница,Розница-Армянский магазин,Araxi Aperitivos Armenios,Доставка по Барселоне (без физ. адреса),Barcelona,Instagram DM @araxi.armenia,,https://instagram.com/araxi.armenia,"Армянский фуд-проект Florentina Israelian (дочь армянской диаспоры из Аргентины). Доставка боксов с традиц блюдами (сарма, хумус, мухаммара, бабагануш). На данный момент IG помечен ""CLOSED TEMPORARILY"" (630 подписчиков). Возможна коллаборация когда возобновят. Маленький объём, но имиджевая точка.",4,plateselector.com / instagram,Да,3,2026-05-28,Plateselector.com + Instagram + Facebook,,,,Круглый год
R047,Прочее,Armenian/Caucasian Restaurant,Restaurante Lavash,"Carrer de Mallorca, 287, 08037",Barcelona,+34 722 502 356,,https://linktr.ee/lavash.bcn / https://instagram.com/lavash.bcn,Ресторан с названием LAVASH в Эшампле. Кавказская кухня - грузинская армянская региональная (гриль на углях домашние закуски печёные специальности). Часы 13:15-22:30 ежедневно. Доставка UberEats и Glovo. Прямой партнёр/конкурент по теме лаваша - возможно покупают у внешнего производителя. Критически важно подойти первыми.,5,ubereats / tripadvisor / thefork,Да,5,2026-05-28,UberEats + TripAdvisor + TheFork + linktr.ee,,,,Круглый год
R048,Готовый,Конечный-Грузинский ресторан,Kinza Born,"Carrer dels Banys Vells, 15, 08003",Barcelona,+34 931 060 466,info@kinzabcn.es,https://kinzabcn.es,Флагман грузинских ресторанов в БСН в Эль Борн. Часы 13:00-01:00 (пт-сб до 03:00). TripAdvisor 4.4/5 (124 отзыва) ранг #1273/9325. Цена 5-38€. Грузинская кухня (хачапури хинкали кубдари михловани шашлык). Высокий объём грузинского лаваша/шоти - ключевой клиент. Часть сети из 3 точек в Каталонии плюс Мадрид.,5,kinzabcn.es / tripadvisor,Да,5,2026-05-28,TripAdvisor + kinzabcn.es + Facebook,,,Вероятно,Круглый год
R049,Готовый,Конечный-Грузинский ресторан,Kinza Aribau,"Carrer d'Aribau, 179, 08036",Barcelona,+34 934 830 865 / +34 623 986 716,info@kinzabcn.es,https://kinzabcn.es/aribau,Вторая точка Kinza. Часы до 01:30 пт-сб. TripAdvisor 3.6/5 (8 отзывов меньше точка моложе). Большие порции и постоянный поток лаваша/шоти. Тот же владелец что Kinza Born. Заказ лаваша синхронизирован между точками - удобная логистика.,5,kinzabcn.es / tripadvisor,Да,5,2026-05-28,TripAdvisor + kinzabcn.es + TikTok,,,Вероятно,Круглый год
R050,Готовый,Конечный-Грузинский ресторан,Kinza Villa Castelldefels,"Calle 12, 25, 08860",Castelldefels,+34 613 099 837,info@kinzabcn.es,https://kinzabcn.es,Третья точка Kinza в Каталонии. Адрес также Carrer del Dr. Barraquer 19-21. Грузинская кухня. Сеть Kinza - единый поставщик удобен. Точка вне Барсы (Кастельдефелс) - может быть барьер по логистике но возможность централизованной поставки через Kinza Born.,5,kinzabcn.es / tripadvisor,Да,4,2026-05-28,TripAdvisor + autoreserve + Facebook,,,Вероятно,Круглый год
R051,Готовый,Конечный-Грузинский ресторан,Supra Barcelona,"Carrer de València, 246, 08007",Barcelona,+34 932 434 068,restaurante@suprabarcelona.com,https://suprabarcelona.com,Грузинский ресторан Mode в Эшампле между Balmes и Rambla de Catalunya. Live shows традиц музыка и танцы каждый вечер. TripAdvisor 90+ отзывов ранг #1594 Certificate of Excellence. Цена $$ (20-40€). Аджарули хачапури - покупают много лаваша и шоти. ВТОРОЙ по важности грузинский клиент после Kinza.,5,suprabarcelona.com / tripadvisor,Да,5,2026-05-28,TripAdvisor + suprabarcelona.com + bcnrestaurantes.com,,,Вероятно,Круглый год
R052,Готовый,Конечный-Грузинский ресторан,Tiflis Restaurant,"Carrer del Consell de Cent, 487, 08007",Barcelona,+34 631 489 757,,https://tiflisbarcelona.com,Грузинский ресторан рядом с Саграда Фамилья (метро L2 Monumental). Часы вс-чт 11:30-00:00 пт-сб 11:30-00:30 - АКТИВНО ОТКРЫТ (не закрыт). Один из немногих грузинских в Барсе разнообразное меню. Live music современная эстетика. Лаваш ежедневно.,4,tiflisbarcelona.com / tripadvisor,Да,4,2026-05-28,TripAdvisor + tiflisbarcelona.com + Waze + Facebook,,,Вероятно,Круглый год
R053,Готовый,Конечный-Грузинский ресторан,Chveni Bcn,"Carrer d'Escòcia, 71, 08016",Barcelona,+34 612 536 258,,https://chveni.menufyy.com,"Грузинский ресторан в Ноу Баррис. Аутентичная грузинская кухня (хинкали грузинские вина). Часы 13:00-23:00. Хорошая репутация ""warm service great atmosphere unbeatable prices"". Доставка/такеавей. Лаваш ежедневно. Менее объёмная точка чем Kinza/Supra но настоящие грузины.",4,chveni.menufyy.com / tripadvisor,Да,4,2026-05-28,TripAdvisor + chveni.menufyy.com + Instagram + RestaurantGuru,,,Вероятно,Круглый год
R054,Готовый,Конечный-Грузинский ресторан,La Illau Imeruli,"Carrer d'Hondures, 60, 08027",Barcelona,+34 935 358 100,,https://nicelocal.es (поиск La Illau Imeruli),Маленький грузинский ресторан рядом со станцией La Sagrera. Адрес уточнён через Nicelocal. NiceLocal рейтинг 4.8. Аутентичная имеретинская кухня (Imeruli - регион Грузии). Скромный объём но настоящая грузинская точка.,3,restaurantguru.com / nicelocal.es,Да,3,2026-05-28,Nicelocal.es + RestaurantGuru,,,Вероятно,Круглый год
R055,Готовый,Конечный-Грузинский ресторан,Restaurant LLau,"Carrer de Sant Antoni Maria Claret, 500-502 (esquina C. d'Hondures), 08017",Barcelona,,,https://facebook.com/restaurantllau,Грузинский ресторан напротив метро La Sagrera. Угол с C. d'Hondures. До 23:30. Часть малой грузинской сцены БСН. Возможно ассоциирован с La Illau Imeruli (одна община). Меню Грузия. Активен на Facebook.,3,restaurantguru.com / buscaempresas.org,Да,3,2026-05-28,RestaurantGuru + Facebook + buscaempresas.org,,,Вероятно,Круглый год
R056,Розница,Розница-Иранский магазин,Nikomand Iranian Shop Persa,"Carrer de Blai, 43, 08004",Barcelona,+34 931 290 828 / +34 607 321 176,,https://nikomand.com,Иранский супермаркет в Поблесек (на туристической Carrer de Blai). Эксклюзивный представитель BADR в Испании/Португалии. Большой выбор: рис басмати/иранский шафран лавашак сухофрукты восточные сладости. Иранская община покупает много персидского лаваша (тонкий хлеб тип санджак/тафтун). Часы пн-сб 11-21 вс 15-20. ВЫСОКИЙ потенциал но нужен персидский профиль лаваша.,5,nikomand.com / tripadvisor,Да,5,2026-05-28,TripAdvisor + nikomand.com + Instagram @nikomand.bcn + Novacircle,,,,Круглый год
R057,Готовый,Конечный-Иранский ресторан,Rincón Persa,"Calle Floridablanca, 85, 08015",Barcelona,+34 934 255 996 / +34 600 306 062,,https://rinconpersa.es,Иранский ресторан в Сант-Антони. Открыт 20+ лет. Часы вт-вс 12:00-23:00 пн закрыт. Танец живота пт-сб ~22:30. Иранское барбекю и кебабы. Лаваш обязателен ежедневно. Доставка/такеавей через Just Eat. Один из старейших иранских ресторанов БСН - стабильный объём.,5,rinconpersa.es / tripadvisor / facebook,Да,5,2026-05-28,Rinconpersa.es + TripAdvisor + Facebook + cityseeker,,,,Круглый год
R058,Готовый,Конечный-Иранский ресторан,Restaurante Shiraz,"Carrer de Calàbria, 144, local, 08015 Eixample",Barcelona,+34 931 439 291,,https://restauranteshiraz.es,Иранский ресторан халяль в Эшампле (адрес уточнён - Calàbria 144 а не Floridablanca). Часы 12:30-23:30 ежедневно (по сайту) либо вт-ср закрыто (по др источнику). Персидская кухня иранская халяль (кебаб ченже шорба бастани). Без резерваций - порядок очереди. Лаваш обязателен.,5,restauranteshiraz.es,Да,5,2026-05-28,Restauranteshiraz.es + Yelp + bcnrestaurantes.com + Restauranteshalal.es,,,,Круглый год
R059,Готовый,Конечный-Ливанский/арабский ресторан Барселона,Aladdin Restaurante,"Av. de Gaudi, 50, Eixample, 08025",Barcelona,+34 934 463 467,,https://restaurantealaddin.com,"Libanes/arabe/marroqui cerca de Sagrada Familia. Pita propia (#pandepita en Insta), fatayer, falafel, kafta. Belly dance vie/sab 20h. Pita-bread - candidato a замене на лаваш для wraps/arayes.",5,tripadvisor,Да,5,2026-05-28,firecrawl+restaurantealaddin.com,Вероятно,,Вероятно,Круглый год
R060,Готовый,Конечный-Ливанский/арабский ресторан Барселона,Cafe Arabia (Arabia Cafe-Restaurant),"Carrer Verdi 16 bajo, Gracia, 08012",Barcelona,+34 933 025 955,,https://cafearabiabarcelona.com,Libanes Halal. ~1675 resenas TripAdvisor - крупнейший. Musica arabe en directo. Cocina libanesa/arabe-marroqui tradicional. Большие объёмы хлеба - топ-кандидат. | ДУБЛИКАТ записан как R073 (Cafe Arabia (duplicate Verdi 16)) — данные слиты сюда.,5,tripadvisor,Да,5,2026-05-28,firecrawl+cafearabiabarcelona.com,Вероятно,,Вероятно,Круглый год
R061,Готовый,Конечный-Ливанский/арабский ресторан Барселона,Restaurante Sannin,"Calle Encarnacion 44, 08024",Barcelona,,,https://restaurantelibanessannin.com,"Libanes семейный. Доставка + recogida. Just Eat partner. Hummus/baba ganush/falafel/shish kebab - всё с питой. Сайт - Just Eat shopfront, телефон не указан публично.",5,restaurantelibanessannin.com,Да,4,2026-05-28,firecrawl+justeat,Вероятно,,Вероятно,Круглый год
R062,Готовый,Конечный-Ливанский/арабский ресторан Барселона,Karakala,"Carrer Torrent de l'Olla, 136, Gracia, 08012",Barcelona,+34 930 180 807,,https://karakala.com,"Libanes/fenicio в Грасия. Платы из Ливана/Сирии/Туниса/Марокко. ~399 отзывов TripAdvisor #611. Сред.чек 25-35€. Меззе, шаварма, кускус.",4,paginasamarillas,Да,5,2026-05-28,bcnrestaurantes+karakala.com,Вероятно,,Вероятно,Круглый год
R063,Готовый,Конечный-Ливанский/арабский ресторан Барселона,Restaurante Reem Al Bawadi,"Via Laietana, 59, 08003",Barcelona,+34 934 121 313,,,"Libanes на Via Laietana. Oasis-themed + shisha bar. Открыт пн-чт 12-1:30, пт-сб 12-2:00. Высокий объём (ночные часы).",4,paginasamarillas,Да,5,2026-05-28,yelp+wanderlog,Вероятно,,Вероятно,Круглый год
R064,Готовый,Конечный-Ливанский/арабский ресторан Барселона,Fenicia,"Passeig Sant Antoni 9, Sants",Barcelona,+34 933 300 146,,https://fenicia.es,Libanes с 1997 в Сантс возле станции. 482 отзыва. Поздние заказы. Сред.чек ~20€.,4,tripadvisor,Да,5,2026-05-28,fenicia.es+websearch,Вероятно,,Вероятно,Круглый год
R065,Готовый,Конечный-Ливанский/арабский ресторан Барселона,Albe Barcelona,"Carrer de Mallorca, 196 bajos 2, 08036",Barcelona,+34 930 117 316,,https://albebarcelona.com,Libanes-cataluno gastrobar. Не фьюжн - своя интерпретация. Винная карта. Платы для шеринга. Средний-высокий сегмент.,4,inandoutbarcelona,Да,5,2026-05-28,albebarcelona.com+websearch,Вероятно,,Вероятно,Круглый год
R066,Готовый,Конечный-Ливанский/арабский ресторан Барселона,Mazah Restaurant,"Gran Via de les Corts Catalanes, 618, L'Eixample, 08007",Barcelona,+34 930 130 311,,https://mazahrestaurant.es,Libanes. Chef Amer. Menu ejecutivo 19.90€. Menu Ramadan/grupos. Belly dance show. 4.3/1887 Google reviews. Glovo+UberEats. WhatsApp +34 687 666 823. Arayes - наш хлеб!,4,mazahrestaurant.es,Да,5,2026-05-28,firecrawl+mazahrestaurant.es,Вероятно,,Вероятно,Круглый год
R067,Готовый,Конечный-Ливанский/арабский ресторан Барселона,Bar Restaurante Gardenia,"Calle Provenza, 546, Local 3, 08025",Barcelona,+34 612 431 834,bayanbarcelona8@gmail.com,https://barrestaurantegardenia.com,"Sirio-libano-mediterraneo. Открыт фев 2022. Bayan Sayed Atasi. Свежие/натуральные продукты, без процессированного. Постры артесанал сириос. Откр пн-чт 11:30-24:00, пт-сб 11:30-01:00.",4,barrestaurantegardenia.com,Да,5,2026-05-28,firecrawl+barrestaurantegardenia.com,Вероятно,,Вероятно,Круглый год
R068,Готовый,Конечный-Ливанский/арабский ресторан Барселона,ARWAD Restaurant Sirio (El Solet de Sants),"Passeig de Sant Antoni 15, 08014",Barcelona,+34 931 288 212,restaurantarwad@gmail.com,https://arwad.es,Sirio-libano в Сантс. Открыто пн-вс 12:00-00:00. Halal. Terraza + comedor privado. Menu del dia + carta. Brasas/bocadillos - candidate для лаваша.,4,arwad.es,Да,5,2026-05-28,firecrawl+arwad.es,Вероятно,,Вероятно,Круглый год
R069,Готовый,Конечный-Ливанский/арабский ресторан Барселона,La Caravana,"Carrer de Mozart, 15-16, Gracia, 08012",Barcelona,+34 934 151 771,,https://lacaravanabarcelona.com,Sirio 30+ лет в Грасия. Авторская пита для shawarma/falafel - готовят сами!! Знаменитая в городе. Сред.чек 11-12€/блюдо. Pita Shawarma/Falafel/Kafta 6.10€ - производят свой хлеб.,4,wanderlog,Да,5,2026-05-28,firecrawl+lacaravanabarcelona.com,Вероятно,,Вероятно,Круглый год
R070,Готовый,Конечный-Ливанский/арабский ресторан Барселона,Restaurante Xix Kebab,"C/ Corsega 193, Eixample Esquerre",Barcelona,+34 933 218 210,,,"Sirio в Эшампле. Кускус, кебаб, фалафель, хумус. Сред.чек 20€. Comida 13-16, cena 20:30-00. Metro Hospital Clinic.",4,tripadvisor,Да,5,2026-05-28,websearch+bcnrestaurantes,Вероятно,,Вероятно,Круглый год
R071,Готовый,Конечный-Ливанский/арабский ресторан Барселона,Ugarit Sants,"Passeig Sant Antoni 21, Sants-Montjuic, 08014",Barcelona,+34 931 751 431,,,Sirio. Сеть из 7 ресторанов в БСН (Hani Sarkis). 171 отзыв. Сред.чек ~18€. 12:30-00:00. ВАЖНО: сеть - можно зайти на головной офис и продавать на все 7 точек.,3,tripadvisor,Да,5,2026-05-28,bcnrestaurantes+tripadvisor,Вероятно,,Вероятно,Круглый год
R072,Готовый,Конечный-Ливанский/арабский ресторан Барселона,Arze Restaurante Libanes,"Carrer del Doctor Dou, 10, Local 2, Ciutat Vella",Barcelona,+34 653 676 193,,https://arzerestaurante.es,Libanes в Ciutat Vella. 9.4/10 TheFork (400+ отзывов). Halal. Веган опции. Сред.чек 22€. UberEats+Glovo. Кеббе/хумус/фалафель/шаварма.,3,glovo,Да,5,2026-05-28,thefork+websearch,Вероятно,,Вероятно,Круглый год
R073,Готовый,Конечный-Ливанский/арабский ресторан Барселона,Cafe Arabia (duplicate Verdi 16),"Carrer Verdi 16 bajo, Gracia, 08012",Barcelona,+34 933 025 955,,https://cafearabiabarcelona.com,[ДУБЛИКАТ → СЛИТ С R060] СЛИТО С ID R060 (Cafe Arabia (Arabia Cafe-Restaurant)) — этот адрес/название дублируется. ДУБЛИКАТ R060 - тот же ресторан Cafe Arabia. Один и тот же адрес/телефон. Объединить с R060 при слиянии базы.,4,cafearabiabarcelona.com,Дубликат,5,2026-05-28,cross-check+firecrawl,Вероятно,,Вероятно,Круглый год
R074,Готовый,Конечный-Ливанский/арабский ресторан Барселона,Beryti Bistro,"Travessera de Gracia, 228, 08024",Barcelona,+34 677 161 152,,https://beryti.com,"Libanes бистро. Хозяйки Cindy Nehme + Pamela Syriani из Бейрута. Двухэтажный, как дом в Бейруте. Lebanese comfort food. Пн 19:30-00, вт-сб 12-16+19:30-00. Сильный кандидат - аутентичные ливанки.",4,inandoutbarcelona,Да,5,2026-05-28,beryti.com+websearch,Вероятно,,Вероятно,Круглый год
R075,Готовый,Конечный-Ливанский/арабский ресторан Барселона,Bistrot Levante,"Placeta de Manuel Ribe, 1, 08002",Barcelona,+34 938 582 679,,https://bistrotlevante.com,"Levantino в Готике. Mediterraneo + oriental soul. Libano + mediterraneo blend. Открыт 2018. Платы для шеринга, натур.вина. Пн-вт закрыт, ср-пт 13-00, сб 10:30-00.",3,inandoutbarcelona,Да,5,2026-05-28,bistrotlevante.com+yelp,Вероятно,,Вероятно,Круглый год
R076,Готовый,Конечный-Ливанский/арабский ресторан Барселона,Hummus Barcelona,"Carrer de Valencia, 227, 08007",Barcelona,+34 933 804 753,hummusbarcelona@gmail.com,https://hummusbarcelona.es,"Vegetariano/vegano mediterraneo. Между Balmes и Rambla Catalunya. Сред.чек 15€. Comida 13:30-16, cena 19-22:30. Опции gluten-free. Большой объём питы для wraps.",4,inandoutbarcelona,Да,5,2026-05-28,websearch+ajuntament.barcelona,Вероятно,,Вероятно,Круглый год
R077,Готовый,Конечный-Ливанский/арабский ресторан Барселона,A Tu Bola,"Carrer de l'Hospital, 78, 08001 (Raval)",Barcelona,+34 933 153 244,,https://atubolarestaurante.com,"Israeli/Mediterraneo street food gourmet. Brand 'A Tu Bola Restaurante' + catering. Boletas/крокеты, фалафель. Левантская кухня - конвертируемо на лаваш для wraps.",3,atubolarestaurante.com,Да,4,2026-05-28,firecrawl+atubolarestaurante.com,Вероятно,,Вероятно,Круглый год
R078,Готовый,Конечный-Ливанский/арабский ресторан Барселона,El Cocinero de Damasco,"Carrer dels Templers, 2, 08002",Barcelona,+34 637 990 606,,,"Sirio Halal. Хозяин-повар из Дамаска. 4.6/5 TripAdvisor. Открытая кухня. Spec: shawarma de pavo по секретному рецепту, fatayer/hummus/falafel. Прямой клиент для шаварма-лаваша.",4,wanderlog,Да,5,2026-05-28,tripadvisor+yelp,Вероятно,,Вероятно,Круглый год
R079,Готовый,Конечный-Ливанский/арабский ресторан Барселона,Musta Shawarma,"Carrer de Mozart, 4, Gracia, 08012",Barcelona,+34 935 008 591,,https://m.facebook.com/MustaShawarma,Sirio shawarma-точка в Грасия. 13:00-00:30 ежедневно. Halal Middle Eastern. Высокий поток - чистый шаварма-формат. ПРЯМОЙ кандидат на регулярные поставки лаваша.,5,wanderlog,Да,5,2026-05-28,websearch+novacircle,Вероятно,,Вероятно,Круглый год
R180,Платформа,Платформа-Доставка,Glovo,Barcelona / Cataluña,Spain,,partners-support@glovoapp.com,https://partners.glovoapp.com/,"Регистрация партнёра на partners.glovoapp.com. Комиссия 25-35% (для ресторанов чаще 30-35%); grocery 15-25%. Активация ~5 раб дней + до 15 дней до операционной готовности. Требуется: налоговый ID (NIF/CIF), банковский счёт, сертификация коммерческой кухни/пищевого производства, фото продукции/локации. ОБЯЗАТЕЛЬНО для Льорета — Glovo доминирует в Каталонии.",5,glovoapp.com,Да,5,2026-05-28,partners.glovoapp.com + blog.menuviel.com,,,,Круглый год
R181,Платформа,Платформа-Доставка,Uber Eats,Cataluña,Spain,,merchants-support@uber.com,https://merchants.ubereats.com/,"Регистрация партнёра: merchants.ubereats.com (ранее uber.com/es/es-es/merchant). Бесплатная активация. Комиссия 25-35%. Требуется: NIF/CIF, банк счёт, фото меню/продукции, режим работы. Активный в Лиорете 2026. 700k+ ресторанов/магазинов глобально.",5,ubereats.com,Да,5,2026-05-28,merchants.ubereats.com + help.uber.com,,,,Круглый год
